年份,月份,排名,厂商,车型,销量,售价(万元),车型类型
2025,1,1,比亚迪,秦PLUS,31250,9.18,自主新能源
2025,1,2,特斯拉,Model Y,29876,28.85,合资新能源
2025,1,3,五菱,宏光MINIEV,28765,4.58,自主新能源
2025,1,4,吉利,星愿,26543,8.38,自主新能源
2025,1,5,比亚迪,海鸥,25432,7.78,自主新能源
2025,1,6,比亚迪,宋PLUS,23145,15.98,自主新能源
2025,1,7,特斯拉,Model 3,22134,26.59,合资新能源
2025,1,8,比亚迪,元UP,19876,9.68,自主新能源
2025,1,9,比亚迪,海豚,18765,11.68,自主新能源
2025,1,10,理想,L6,17654,25.98,自主新能源
2025,1,11,小鹏,MONA M03,16543,12.98,自主新能源
2025,1,12,蔚来,ET5,15432,32.80,自主新能源
2025,1,13,问界,M8,14321,29.98,自主新能源
2025,1,14,零跑,C10,13210,14.98,自主新能源
2025,1,15,小米,SU7,12109,24.99,自主新能源
2025,1,16,广汽丰田,铂智3X,5678,16.98,合资新能源
2025,1,17,上汽通用别克,GL8 PHEV,4987,35.98,合资新能源
2025,1,18,东风日产,N7,4321,18.98,合资新能源
2025,1,19,上汽大众,ID.3,3987,16.28,合资新能源
2025,1,20,华晨宝马,i3,3456,35.98,合资新能源
2025,2,1,比亚迪,秦PLUS,29876,9.18,自主新能源
2025,2,2,特斯拉,Model Y,28765,28.85,合资新能源
2025,2,3,五菱,宏光MINIEV,27654,4.58,自主新能源
2025,2,4,吉利,星愿,25432,8.38,自主新能源
2025,2,5,比亚迪,海鸥,24321,7.78,自主新能源
2025,2,6,比亚迪,宋PLUS,22109,15.98,自主新能源
2025,2,7,特斯拉,Model 3,21098,26.59,合资新能源
2025,2,8,比亚迪,元UP,19876,9.68,自主新能源
2025,2,9,比亚迪,海豚,18765,11.68,自主新能源
2025,2,10,理想,L6,17654,25.98,自主新能源
2025,2,11,小鹏,MONA M03,16543,12.98,自主新能源
2025,2,12,蔚来,ET5,15432,32.80,自主新能源
2025,2,13,问界,M8,14321,29.98,自主新能源
2025,2,14,零跑,C10,13210,14.98,自主新能源
2025,2,15,小米,SU7,12109,24.99,自主新能源
2025,2,16,广汽丰田,铂智3X,5876,16.98,合资新能源
2025,2,17,上汽通用别克,GL8 PHEV,5123,35.98,合资新能源
2025,2,18,东风日产,N7,4456,18.98,合资新能源
2025,2,19,上汽大众,ID.3,4123,16.28,合资新能源
2025,2,20,华晨宝马,i3,3654,35.98,合资新能源
2025,3,1,比亚迪,秦PLUS,34567,9.18,自主新能源
2025,3,2,特斯拉,Model Y,33210,28.85,合资新能源
2025,3,3,五菱,宏光MINIEV,32109,4.58,自主新能源
2025,3,4,吉利,星愿,29876,8.38,自主新能源
2025,3,5,比亚迪,海鸥,28765,7.78,自主新能源
2025,3,6,比亚迪,宋PLUS,26543,15.98,自主新能源
2025,3,7,特斯拉,Model 3,25432,26.59,合资新能源
2025,3,8,比亚迪,元UP,23145,9.68,自主新能源
2025,3,9,比亚迪,海豚,22109,11.68,自主新能源
2025,3,10,理想,L6,21098,25.98,自主新能源
2025,3,11,小鹏,MONA M03,19876,12.98,自主新能源
2025,3,12,蔚来,ET5,18765,32.80,自主新能源
2025,3,13,问界,M8,17654,29.98,自主新能源
2025,3,14,零跑,C10,16543,14.98,自主新能源
2025,3,15,小米,SU7,15432,24.99,自主新能源
2025,3,16,广汽丰田,铂智3X,6543,16.98,合资新能源
2025,3,17,上汽通用别克,GL8 PHEV,5876,35.98,合资新能源
2025,3,18,东风日产,N7,5123,18.98,合资新能源
2025,3,19,上汽大众,ID.3,4765,16.28,合资新能源
2025,3,20,华晨宝马,i3,4210,35.98,合资新能源
2025,4,1,比亚迪,秦PLUS,36543,9.18,自主新能源
2025,4,2,特斯拉,Model Y,35432,28.85,合资新能源
2025,4,3,五菱,宏光MINIEV,34321,4.58,自主新能源
2025,4,4,吉利,星愿,32109,8.38,自主新能源
2025,4,5,比亚迪,海鸥,30987,7.78,自主新能源
