city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
合肥,瑶海区长江东路188号,89.5㎡,中层/18层,保利东郡,125万,安徽,3室2厅,南北通透,13966元/㎡,2015,https://hf.lianjia.com/ershoufang/100001.html
合肥,蜀山区望江西路,110㎡,高层/33层,拓基城市广场,160万,安徽,3室2厅,朝南,14545元/㎡,2010,https://hf.lianjia.com/ershoufang/100002.html
合肥,包河区马鞍山路,78㎡,低层/6层,金地国际城,102万,安徽,2室1厅,朝东,13077元/㎡,,https://hf.lianjia.com/ershoufang/100003.html
合肥,庐阳区北一环,122㎡,中层/24层,财富广场,190万,安徽,3室2厅,南北通透,15574元/㎡,2012,https://hf.lianjia.com/ershoufang/100004.html
合肥,新站区铜陵北路,,中层/18层,家天下,98万,安徽,2室2厅,朝北,12250元/㎡,2009,https://hf.lianjia.com/ershoufang/100005.html
合肥,高新区创新大道,130㎡,高层/30层,祥源城,218万,安徽,4室2厅,朝南,16769元/㎡,2016,https://hf.lianjia.com/ershoufang/100006.html
合肥,经开区繁华大道,94㎡,低层/11层,中环云邸,140万,安徽,3室1厅,朝西,14894元/㎡,2011,https://hf.lianjia.com/ershoufang/100007.html
合肥,蜀山区潜山路,106㎡,中层/28层,华润幸福里,175万,安徽,3室2厅,南北通透,16509元/㎡,2014,https://hf.lianjia.com/ershoufang/100008.html
合肥,包河区徽州大道,113㎡,,望湖城,180万,安徽,3室2厅,朝南,15929元/㎡,2007,https://hf.lianjia.com/ershoufang/100009.html
合肥,庐阳区阜阳北路,69㎡,低层/6层,和煦园,88万,安徽,2室1厅,朝东,12754元/㎡,2005,https://hf.lianjia.com/ershoufang/100010.html
合肥,瑶海区明光路,91㎡,中层/24层,恒大城,135万,安徽,3室1厅,朝南,14835元/㎡,2013,https://hf.lianjia.com/ershoufang/100011.html
合肥,高新区习友路,126㎡,高层/30层,保利梧桐语,205万,安徽,4室2厅,南北通透,16270元/㎡,2015,https://hf.lianjia.com/ershoufang/100012.html
合肥,经开区莲花路,87㎡,中层/18层,观澜华庭,118万,安徽,2室2厅,朝西,13563元/㎡,,https://hf.lianjia.com/ershoufang/100013.html
合肥,新站区淮海大道,99㎡,低层/11层,京商商贸城,126万,安徽,3室1厅,朝北,12727元/㎡,2014,https://hf.lianjia.com/ershoufang/100014.html
合肥,蜀山区合作化路,116㎡,中层/26层,万科金域华府,230万,安徽,3室2厅,南北通透,19828元/㎡,2011,https://hf.lianjia.com/ershoufang/100015.html
合肥,包河区宿松路,77㎡,高层/33层,铂金汉宫,105万,安徽,2室1厅,朝南,13636元/㎡,2010,https://hf.lianjia.com/ershoufang/100016.html
合肥,庐阳区北二环,120㎡,中层/24层,明发商业广场,178万,安徽,4室2厅,朝东,14833元/㎡,2008,https://hf.lianjia.com/ershoufang/100017.html
合肥,瑶海区长江东大街,92㎡,低层/6层,和平家园,118万,安徽,3室1厅,南北通透,12826元/㎡,2006,https://hf.lianjia.com/ershoufang/100018.html
合肥,高新区望江西路,133㎡,高层/32层,海亮九玺,238万,安徽,4室2厅,朝南,17895元/㎡,2016,https://hf.lianjia.com/ershoufang/100019.html
合肥,经开区天都路,81㎡,中层/18层,御景前城,108万,安徽,2室2厅,朝西,13333元/㎡,2013,https://hf.lianjia.com/ershoufang/100020.html
合肥,新站区梦溪路,85㎡,高层/30层,禹洲中央城,128万,安徽,3室2厅,朝北,15059元/㎡,2015,https://hf.lianjia.com/ershoufang/100021.html
合肥,蜀山区青阳路,107㎡,中层/24层,安居苑,168万,安徽,3室2厅,南北通透,15701元/㎡,2004,https://hf.lianjia.com/ershoufang/100022.html
合肥,包河区祁门路,111㎡,低层/11层,绿地中心,175万,安徽,3室2厅,朝南,15766元/㎡,2014,https://hf.lianjia.com/ershoufang/100023.html
合肥,庐阳区蒙城北路,71㎡,高层/33层,金鼎国际,92万,安徽,2室1厅,朝东,12958元/㎡,2007,https://hf.lianjia.com/ershoufang/100024.html
合肥,瑶海区新安江路,101㎡,中层/26层,保利东郡,140万,安徽,3室2厅,南北通透,13861元/㎡,2015,https://hf.lianjia.com/ershoufang/100025.html
合肥,高新区科学大道,127㎡,高层/30层,百商悦澜山,212万,安徽,4室2厅,朝南,16693元/㎡,2014,https://hf.lianjia.com/ershoufang/100026.html
合肥,经开区金寨南路,89㎡,中层/18层,中环城,132万,安徽,3室1厅,朝西,14831元/㎡,2011,https://hf.lianjia.com/ershoufang/100027.html
合肥,新站区陶冲湖,85㎡,低层/11层,文一陶冲湖广场,108万,安徽,2室2厅,朝北,12706元/㎡,2016,https://hf.lianjia.com/ershoufang/100028.html
合肥,蜀山区怀宁路,114㎡,中层/28层,华润凯旋门,248万,安徽,3室2厅,南北通透,21754元/㎡,2013,https://hf.lianjia.com/ershoufang/100029.html
合肥,蜀山区长江西路,109㎡,高层/33层,拓基城市广场,158万,安徽,3室2厅,朝南,14495元/㎡,2010,https://hf.lianjia.com/ershoufang/100030.html
南京,玄武区北京东路,99㎡,中层/24层,丹凤新寓,255万,江苏,3室1厅,朝南,25758元/㎡,2005,https://nj.lianjia.com/ershoufang/200001.html
南京,鼓楼区中山北路,94㎡,高层/30层,中商万豪,235万,江苏,2室2厅,朝东,25000元/㎡,2008,https://nj.lianjia.com/ershoufang/200002.html
南京,建邺区江东中路,119㎡,中层/26层,万达西地,355万,江苏,3室2厅,南北通透,29832元/㎡,2010,https://nj.lianjia.com/ershoufang/200003.html
南京,秦淮区龙蟠中路,84㎡,低层/6层,瑞金新村,200万,江苏,2室1厅,朝西,23810元/㎡,2003,https://nj.lianjia.com/ershoufang/200004.html
南京,雨花台区雨花西路,89㎡,中层/18层,时光澔韵,220万,江苏,3室1厅,朝北,24719元/㎡,2012,https://nj.lianjia.com/ershoufang/200005.html
南京,栖霞区仙林大道,109㎡,高层/33层,亚东城,305万,江苏,3室2厅,南北通透,27982元/㎡,2007,https://nj.lianjia.com/ershoufang/200006.html
南京,江宁区竹山路,104㎡,中层/26层,百家湖花园,260万,江苏,3室2厅,朝南,25000元/㎡,2009,https://nj.lianjia.com/ershoufang/200007.html
南京,浦口区浦珠中路,87㎡,低层/11层,江浦小区,172万,江苏,2室2厅,朝东,19770元/㎡,2014,https://nj.lianjia.com/ershoufang/200008.html
南京,六合区龙池路,74㎡,高层/30层,荣盛花语城,102万,江苏,2室1厅,朝西,13784元/㎡,2016,https://nj.lianjia.com/ershoufang/200009.html
南京,溧水区秦淮大道,91㎡,中层/18层,溧水万达,108万,江苏,3室1厅,朝北,11868元/㎡,2018,https://nj.lianjia.com/ershoufang/200010.html
南京,玄武区锁金村,81㎡,低层/6层,锁金村小区,195万,江苏,2室1厅,南北通透,24074元/㎡,2002,https://nj.lianjia.com/ershoufang/200011.html
南京,鼓楼区广州路,101㎡,中层/24层,广州路小区,282万,江苏,3室2厅,朝南,27921元/㎡,2006,https://nj.lianjia.com/ershoufang/200012.html
