,employee_id,name,gender,age,department,salary,work_years,is_left,score
0,1,员工1,男,23,技术部,6500,1,0,65
1,2,员工2,女,24,技术部,7000,1,0,68
2,3,员工3,男,25,技术部,8000,2,0,72
3,4,员工4,女,26,技术部,8500,2,0,75
4,5,员工5,男,27,技术部,9500,3,0,78
5,6,员工6,女,28,技术部,10000,3,0,80
6,7,员工7,男,29,技术部,11000,4,0,82
7,8,员工8,女,30,技术部,12000,4,0,85
8,9,员工9,男,31,技术部,13000,5,0,86
9,10,员工10,女,32,技术部,14000,5,0,88
10,11,员工11,男,23,技术部,6800,1,1,62
11,12,员工12,女,24,技术部,7200,1,1,66
12,13,员工13,男,25,技术部,8200,2,1,70
13,14,员工14,女,26,技术部,8600,2,1,73
14,15,员工15,男,27,技术部,9600,3,1,76
15,16,员工16,女,28,技术部,10200,3,1,79
16,17,员工17,男,29,技术部,11200,4,1,81
17,18,员工18,女,30,技术部,12200,4,1,83
18,19,员工19,男,31,技术部,13200,5,1,85
19,20,员工20,女,32,技术部,14200,5,1,87
20,21,员工21,男,33,技术部,15000,6,0,88
21,22,员工22,女,34,技术部,16000,6,0,90
22,23,员工23,男,35,技术部,17000,7,0,91
23,24,员工24,女,36,技术部,18000,7,0,92
24,25,员工25,男,37,技术部,19000,8,0,93
25,26,员工26,女,38,技术部,20000,8,0,94
26,27,员工27,男,23,市场部,6000,1,0,63
27,28,员工28,女,24,市场部,6600,1,0,67
28,29,员工29,男,25,市场部,7500,2,0,71
29,30,员工30,女,26,市场部,8500,2,0,74
30,31,员工31,男,27,市场部,9500,3,0,77
31,32,员工32,女,28,市场部,10500,3,0,80
32,33,员工33,男,29,市场部,11500,4,0,82
33,34,员工34,女,30,市场部,12500,4,0,84
34,35,员工35,男,31,市场部,13500,5,0,86
35,36,员工36,女,32,市场部,14500,5,0,88
36,37,员工37,男,23,市场部,6200,1,1,60
37,38,员工38,女,24,市场部,6800,1,1,64
38,39,员工39,男,25,市场部,7600,2,1,68
39,40,员工40,女,26,市场部,8600,2,1,72
40,41,员工41,男,27,市场部,9600,3,1,75
41,42,员工42,女,28,市场部,10600,3,1,78
42,43,员工43,男,29,市场部,11600,4,1,80
43,44,员工44,女,30,市场部,12600,4,1,82
44,45,员工45,男,31,市场部,13600,5,1,84
45,46,员工46,女,32,市场部,14600,5,1,86
46,47,员工47,男,33,市场部,15500,6,0,87
47,48,员工48,女,34,市场部,16500,6,0,89
48,49,员工49,男,35,市场部,17500,7,0,90
49,50,员工50,女,36,市场部,18500,7,0,91
50,51,员工51,男,23,人事部,5800,1,0,62
51,52,员工52,女,24,人事部,6400,1,0,66
52,53,员工53,男,25,人事部,7200,2,0,70
53,54,员工54,女,26,人事部,8000,2,0,73
54,55,员工55,男,27,人事部,8800,3,0,76
55,56,员工56,女,28,人事部,9600,3,0,79
56,57,员工57,男,29,人事部,10400,4,0,81
57,58,员工58,女,30,人事部,11200,4,0,83
58,59,员工59,男,31,人事部,12000,5,0,85
59,60,员工60,女,32,人事部,12800,5,0,87
60,61,员工61,男,23,人事部,5900,1,1,59
61,62,员工62,女,24,人事部,6500,1,1,63
