species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,39.1,18.7,181,3750,MALE,2007
Adelie,Torgersen,39.5,17.4,186,3800,FEMALE,2007
Adelie,Torgersen,40.3,18.0,195,3250,FEMALE,2007
Adelie,Torgersen,,,2008,,MALE,2007
Adelie,Torgersen,36.7,19.3,193,3450,FEMALE,2007
Adelie,Torgersen,39.3,20.6,190,3650,MALE,2007
Adelie,Torgersen,38.9,17.8,181,3625,FEMALE,2007
Adelie,Torgersen,39.2,19.6,195,4675,MALE,2007
Adelie,Torgersen,34.1,18.1,193,3475,,2007
Adelie,Torgersen,42.0,20.2,190,4250,MALE,2007
Adelie,Torgersen,37.8,17.1,186,3300,FEMALE,2007
Adelie,Torgersen,37.7,16.0,186,3000,FEMALE,2007
Adelie,Torgersen,41.1,17.6,182,3200,MALE,2007
Adelie,Torgersen,38.6,21.1,191,3800,MALE,2007
Adelie,Torgersen,38.2,18.5,195,3950,FEMALE,2007
Adelie,Torgersen,38.8,17.2,180,3800,MALE,2007
Adelie,Torgersen,42.5,20.7,197,4500,MALE,2007
Adelie,Torgersen,34.4,18.4,184,3325,FEMALE,2007
Adelie,Torgersen,46.0,21.5,194,4200,MALE,2007
Adelie,Torgersen,37.8,19.9,184,3550,FEMALE,2007
Adelie,Torgersen,37.9,18.6,172,3150,FEMALE,2007
Adelie,Torgersen,40.6,18.6,183,3800,MALE,2007
Adelie,Torgersen,40.5,18.9,180,3950,MALE,2007
Adelie,Torgersen,37.9,12.9,172,3150,,2007
Adelie,Torgersen,39.6,17.7,193,3900,FEMALE,2007
Adelie,Torgersen,45.3,13.7,210,4500,MALE,2008
Adelie,Biscoe,39.6,19.0,189,4650,MALE,2008
Adelie,Biscoe,37.7,16.3,188,3200,FEMALE,2008
Adelie,Biscoe,39.7,18.4,192,4300,MALE,2008
Adelie,Biscoe,,,2020,,FEMALE,2008
Gentoo,Biscoe,46.1,13.2,211,4500,FEMALE,2007
Gentoo,Biscoe,50.0,16.3,230,5700,MALE,2007
Gentoo,Biscoe,48.7,14.1,210,4450,FEMALE,2007
Gentoo,Biscoe,50.0,15.2,218,5700,MALE,2007
Gentoo,Biscoe,47.6,14.5,215,5400,MALE,2007
Gentoo,Biscoe,46.5,13.5,210,5050,FEMALE,2007
Gentoo,Biscoe,45.4,14.6,211,4800,FEMALE,2007
Gentoo,Biscoe,46.7,15.3,219,5200,MALE,2007
Gentoo,Biscoe,43.3,13.4,209,4400,FEMALE,2007
Gentoo,Biscoe,46.8,15.4,215,5150,MALE,2007
Gentoo,Biscoe,40.9,13.7,214,3800,FEMALE,2007
Gentoo,Biscoe,49.0,16.1,216,5550,MALE,2007
Gentoo,Biscoe,42.7,13.7,208,3950,FEMALE,2007
Gentoo,Biscoe,45.2,13.8,212,4750,FEMALE,2007
Gentoo,Biscoe,48.4,14.6,213,5850,MALE,2007
Gentoo,Biscoe,45.8,14.6,210,4200,FEMALE,2007
Gentoo,Biscoe,49.3,15.7,217,5500,MALE,2007
Gentoo,Biscoe,42.0,13.5,206,3850,FEMALE,2007
Gentoo,Biscoe,45.5,13.7,214,4950,MALE,2007
Gentoo,Biscoe,43.2,16.6,191,3475,,2007
Chinstrap,Dream,46.5,17.9,192,3500,FEMALE,2007
Chinstrap,Dream,50.0,19.5,196,3900,MALE,2007
Chinstrap,Dream,51.3,19.2,193,3650,MALE,2007
Chinstrap,Dream,45.4,18.7,188,3525,FEMALE,2007
Chinstrap,Dream,52.7,19.8,197,3725,MALE,2007
Chinstrap,Dream,45.2,17.8,198,3950,FEMALE,2007
Chinstrap,Dream,49.5,19.0,200,3800,MALE,2007
Chinstrap,Dream,46.4,18.6,190,3450,FEMALE,2007
Chinstrap,Dream,49.7,18.6,195,3600,MALE,2007
Chinstrap,Dream,47.5,16.8,199,3900,FEMALE,2007
Chinstrap,Dream,47.6,17.0,195,3850,FEMALE,2007
Chinstrap,Dream,50.1,17.9,202,4050,MALE,2007
Chinstrap,Dream,49.1,19.6,202,3900,MALE,2007
Chinstrap,Dream,48.1,16.4,199,3725,FEMALE,2007
Chinstrap,Dream,51.0,18.8,203,4100,MALE,2007
Chinstrap,Dream,49.6,17.5,197,3600,FEMALE,2007
Chinstrap,Dream,50.5,19.9,204,4000,MALE,2007
Chinstrap,Dream,49.5,19.1,202,3800,MALE,2007
Chinstrap,Dream,46.2,17.5,187,3650,FEMALE,2008
Chinstrap,Dream,48.7,18.2,191,3850,MALE,2008
Adelie,Dream,39.5,16.7,178,3250,FEMALE,2007
Adelie,Dream,37.2,18.1,178,3900,MALE,2007
Adelie,Dream,39.5,17.4,186,3550,FEMALE,2007
Adelie,Dream,40.9,16.8,185,4300,MALE,2007
Adelie,Dream,36.4,17.0,187,3325,FEMALE,2007
Adelie,Dream,39.2,18.4,195,3950,MALE,2007
