date,high_temp,low_temp,weather,wind_direction,wind_power,air_quality
2025-01-01,5,-3,晴,东北风,2级,良
2025-01-02,4,-5,多云,北风,3级,良
2025-01-03,2,-6,阴,西北风,2级,轻度污染
2025-01-04,1,-7,小雨,西风,3级,轻度污染
2025-01-05,0,-8,小雪,北风,2级,良
2025-01-06,3,-5,晴,东北风,1级,优
2025-01-07,6,-2,多云,东风,2级,良
2025-01-08,5,-4,阴,东南风,3级,轻度污染
2025-01-09,,-1,小雨,南风,2级,中度污染
2025-01-10,3,-5,多云,西南风,1级,良
2025-01-11,7,-3,晴,西风,2级,优
2025-01-12,8,-2,晴,西北风,1级,优
2025-01-13,6,-4,多云,北风,3级,良
2025-01-14,4,-6,阴,东北风,2级,轻度污染
2025-01-15,2,-7,小雪,东风,3级,良
2025-01-16,5,-3,晴,东南风,1级,优
2025-01-17,9,0,多云,南风,2级,良
2025-01-18,7,-2,阴,西南风,3级,轻度污染
2025-01-19,4,-5,小雨,西风,2级,中度污染
2025-01-20,6,-1,晴,西北风,1级,优
2025-01-21,10,1,多云,北风,2级,良
2025-01-22,8,-1,阴,东北风,3级,良
2025-01-23,5,-4,小雪,东风,2级,良
2025-01-24,7,-2,晴,东南风,1级,优
2025-01-25,11,2,多云,南风,2级,良
2025-01-26,,0,阴,西南风,3级,轻度污染
2025-01-27,6,-3,小雨,西风,2级,中度污染
2025-01-28,9,1,晴,西北风,1级,优
2025-01-29,12,3,多云,北风,2级,良
2025-01-30,10,2,阴,东北风,3级,良
2025-01-31,7,-1,小雪,东风,2级,良
2025-02-01,10,1,晴,东南风,1级,优
2025-02-02,13,4,多云,南风,2级,良
2025-02-03,11,3,阴,西南风,3级,轻度污染
2025-02-04,8,0,小雨,西风,2级,中度污染
2025-02-05,12,5,晴,西北风,1级,优
2025-02-06,15,6,多云,北风,2级,良
2025-02-07,13,5,阴,东北风,3级,良
2025-02-08,9,2,小雨,东风,2级,良
2025-02-09,14,7,晴,东南风,1级,优
2025-02-10,17,8,多云,南风,2级,良
2025-02-11,15,7,阴,西南风,3级,轻度污染
2025-02-12,,3,小雨,西风,2级,中度污染
2025-02-13,16,9,晴,西北风,1级,优
2025-02-14,19,10,多云,北风,2级,良
2025-02-15,17,9,阴,东北风,3级,良
2025-02-16,13,6,小雨,东风,2级,良
2025-02-17,18,11,晴,东南风,1级,优
2025-02-18,21,12,多云,南风,2级,良
2025-02-19,19,11,阴,西南风,3级,轻度污染
2025-02-20,15,8,小雨,西风,2级,中度污染
2025-02-21,20,13,晴,西北风,1级,优
2025-02-22,23,14,多云,北风,2级,良
2025-02-23,21,13,阴,东北风,3级,良
2025-02-24,17,10,小雨,东风,2级,良
2025-02-25,22,15,晴,东南风,1级,优
2025-02-26,25,16,多云,南风,2级,良
2025-02-27,23,15,阴,西南风,3级,轻度污染
2025-02-28,19,12,小雨,西风,2级,中度污染
2025-03-01,24,16,晴,西北风,1级,优
2025-03-02,27,17,多云,北风,2级,良
