年份,月份,排名,厂商,车型,销量,售价(万元)
2024,1,1,比亚迪,宋PLUS DM-i,45210,15.98-21.98
2024,1,2,比亚迪,海豚,38760,10.28-13.68
2024,1,3,特斯拉,Model Y,32150,26.39-34.99
2024,1,4,五菱,宏光MINIEV,29800,3.28-9.99
2024,1,5,理想,L7,25680,31.98-37.98
2024,1,6,广汽埃安,AION Y,23120,11.98-18.98
2024,1,7,吉利,银河L7,20450,13.87-17.97
2024,1,8,小鹏,G6,18720,20.99-27.69
2024,1,9,长安,深蓝SL03,17340,14.59-19.19
2024,1,10,零跑,C11,15260,14.98-20.98
2024,2,1,比亚迪,宋PLUS DM-i,42350,15.98-21.98
2024,2,2,比亚迪,海豚,36890,10.28-13.68
2024,2,3,特斯拉,Model Y,30120,26.39-34.99
2024,2,4,五菱,宏光MINIEV,27500,3.28-9.99
2024,2,5,理想,L7,24100,31.98-37.98
2024,2,6,广汽埃安,AION Y,21800,11.98-18.98
2024,2,7,吉利,银河L7,19230,13.87-17.97
2024,2,8,小鹏,G6,17450,20.99-27.69
2024,2,9,长安,深蓝SL03,16100,14.59-19.19
2024,2,10,零跑,C11,14320,14.98-20.98
2024,3,1,比亚迪,宋PLUS DM-i,48670,15.98-21.98
2024,3,2,比亚迪,海豚,41230,10.28-13.68
2024,3,3,特斯拉,Model Y,34580,26.39-34.99
2024,3,4,五菱,宏光MINIEV,31200,3.28-9.99
2024,3,5,理想,L7,27890,31.98-37.98
2024,3,6,广汽埃安,AION Y,25430,11.98-18.98
2024,3,7,吉利,银河L7,22670,13.87-17.97
2024,3,8,小鹏,G6,20560,20.99-27.69
2024,3,9,长安,深蓝SL03,18920,14.59-19.19
2024,3,10,零跑,C11,16780,14.98-20.98
2024,4,1,比亚迪,宋PLUS DM-i,46780,15.98-21.98
2024,4,2,比亚迪,海豚,39560,10.28-13.68
2024,4,3,特斯拉,Model Y,33120,26.39-34.99
2024,4,4,五菱,宏光MINIEV,29850,3.28-9.99
2024,4,5,理想,L7,26450,31.98-37.98
2024,4,6,广汽埃安,AION Y,24100,11.98-18.98
2024,4,7,吉利,银河L7,21340,13.87-17.97
2024,4,8,小鹏,G6,19230,20.99-27.69
2024,4,9,长安,深蓝SL03,17650,14.59-19.19
2024,4,10,零跑,C11,15670,14.98-20.98
2024,5,1,比亚迪,宋PLUS DM-i,51230,15.98-21.98
2024,5,2,比亚迪,海豚,43670,10.28-13.68
2024,5,3,特斯拉,Model Y,36780,26.39-34.99
2024,5,4,五菱,宏光MINIEV,33450,3.28-9.99
2024,5,5,理想,L7,29870,31.98-37.98
2024,5,6,广汽埃安,AION Y,27650,11.98-18.98
2024,5,7,吉利,银河L7,24780,13.87-17.97
2024,5,8,小鹏,G6,22650,20.99-27.69
2024,5,9,长安,深蓝SL03,20890,14.59-19.19
2024,5,10,零跑,C11,18450,14.98-20.98
2024,6,1,比亚迪,宋PLUS DM-i,49870,15.98-21.98
2024,6,2,比亚迪,海豚,42130,10.28-13.68
2024,6,3,特斯拉,Model Y,35420,26.39-34.99
2024,6,4,五菱,宏光MINIEV,32100,3.28-9.99
2024,6,5,理想,L7,28560,31.98-37.98
2024,6,6,广汽埃安,AION Y,26320,11.98-18.98
2024,6,7,吉利,银河L7,23450,13.87-17.97
2024,6,8,小鹏,G6,21340,20.99-27.69
2024,6,9,长安,深蓝SL03,19560,14.59-19.19
2024,6,10,零跑,C11,17320,14.98-20.98
2024,7,1,比亚迪,宋PLUS DM-i,53420,15.98-21.98
2024,7,2,比亚迪,海豚,45780,10.28-13.68
2024,7,3,特斯拉,Model Y,38670,26.39-34.99
2024,7,4,五菱,宏光MINIEV,35210,3.28-9.99
2024,7,5,理想,L7,31450,31.98-37.98
2024,7,6,广汽埃安,AION Y,29430,11.98-18.98
2024,7,7,吉利,银河L7,26560,13.87-17.97
2024,7,8,小鹏,G6,24320,20.99-27.69
2024,7,9,长安,深蓝SL03,22450,14.59-19.19
2024,7,10,零跑,C11,19670,14.98-20.98
2024,8,1,比亚迪,宋PLUS DM-i,55670,15.98-21.98
2024,8,2,比亚迪,海豚,47890,10.28-13.68
